"id","name","nick_name","wins","losses","draws","height","weight","reach","stance","dob","splm","str_acc","sapm","str_def","td_avg","td_avg_acc","td_def","sub_avg","kd_received_avg","td_attempts_received_avg","sub_att_received_avg","sub_def","total_fights","total_fight_time_sec","finish_rate","ctrl_avg","leg_landed_avg","body_landed_avg","kd","strikes_attempted","sub_att","career_td_acc","ko_tko_wins","sub_wins","ko_loss_rate","never_submitted","five_round_fights","five_round_wins","five_round_win_rate","five_round_decision_rate","ground_finish_rate","ground_landed_per_tko","sig_str_landed_per_sec","splm_std","badges"
"231926533134ec1f","Justin Buchholz","","15","10","0","182.88","70.31","185.42","Orthodox","Aug 22, 1983","2.35","26","4.14","51","0.0","0","33","0.8","1.68","7.54","5.03","0.0","5","1074","20.0","227.09","10.06","11.73","1.0","335.0","2.0","0.0","0","1","20.0","0","0","0","0.0","0.0","0.0","0.0","0.0829","2.73",""
"f782f953bfe7b5f2","Jonathan Micallef","The Captain","8","1","0","182.88","77.11","195.58","Southpaw","Mar 05, 1999","4.77","43","4.0","58","0.83","50","50","0.8","0.0","0.0","0.0","0.0","1","300","0.0","27.0","15.0","84.0","1.0","192.0","0.0","0.0","0","0","0.0","1","0","0","0.0","0.0","0.0","0.0","0.2833","0.0",""
"2e04a3b4a2011b97","Roland Payne","","0","1","0","175.26","92.99","0.0","Orthodox","","0.0","0","0.0","0","0.0","0","0","0.0","19.57","19.57","0.0","0.0","1","46","0.0","0.0","19.57","39.13","0.0","4.0","0.0","50.0","0","0","100.0","1","0","0","0.0","0.0","0.0","0.0","0.0652","0.0",""
"29f935654825331b","Chris Sanford","","5","1","0","180.34","83.91","0.0","Orthodox","Mar 12, 1968","0.23","50","3.22","17","0.0","0","0","3.5","0.0","6.9","0.0","0.0","1","261","0.0","0.0","3.45","0.0","0.0","2.0","1.0","0.0","0","0","100.0","1","0","0","0.0","0.0","0.0","0.0","0.0038","0.0",""
"15df64c02b6b0fde","Danny Abbadi","The Assassin","4","6","0","180.34","70.31","0.0","Orthodox","Jul 03, 1983","3.29","38","4.41","57","0.0","0","77","0.0","0.0","17.02","3.78","50.0","2","476","0.0","207.98","0.0","15.13","0.0","155.0","0.0","0.0","0","0","0.0","0","0","0","0.0","0.0","0.0","0.0","0.1239","5.09",""
"10f3ba6cd2f44a97","Dominick Cruz","The Dominator","24","4","0","172.72","61.23","172.72","Orthodox","Mar 09, 1985","3.91","33","2.61","70","2.82","42","83","0.1","2.43","12.83","0.0","0.0","10","2596","10.0","470.8","41.95","48.88","1.0","2053.0","1.0","31.82","1","0","20.0","1","4","4","100.0","100.0","100.0","22.0","0.3005","8.44","Doughmaker,Can’t Touch This,The Dogwalker,Champ Rounds"
"15ea371202eb25e1","Roberto Romero","El Charro Negro","8","5","1","172.72","65.77","177.8","Orthodox","Jan 30, 2000","4.56","49","6.44","44","0.0","0","71","0.0","3.36","11.78","1.68","100.0","2","535","0.0","358.32","68.97","55.51","1.0","222.0","0.0","0.0","0","0","50.0","1","0","0","0.0","0.0","0.0","0.0","0.2037","2.93",""
"f57a8a52ca401ed9","Nick Diaz","","26","10","0","185.42","77.11","193.04","Southpaw","Aug 02, 1983","5.71","42","3.84","59","1.28","32","60","1.0","0.0","21.45","1.1","100.0","15","3272","40.0","485.48","15.13","58.31","3.0","2093.0","13.0","34.15","4","2","6.67","1","0","0","0.0","0.0","75.0","8.75","0.2665","48.64","Kickin’ Pot Pie,Locksmith,The Dogwalker"
"bf0e700106d00e55","Austin Arnett","","16","6","0","182.88","65.77","182.88","Orthodox","Oct 22, 1991","4.52","41","6.38","62","0.44","18","57","0.2","1.6","5.59","0.0","0.0","4","1128","0.0","339.89","2.39","29.52","0.0","483.0","0.0","18.18","0","0","25.0","1","0","0","0.0","0.0","0.0","0.0","0.1826","4.51",""
"d4691518d012b9e7","Aspen Ladd","","9","3","0","167.64","61.23","167.64","Orthodox","Mar 01, 1995","3.78","47","4.65","47","1.56","47","62","0.6","0.69","5.5","0.0","0.0","7","1308","42.86","1106.42","10.32","35.09","1.0","617.0","3.0","47.06","3","0","14.29","1","0","0","0.0","0.0","100.0","25.67","0.2217","26.93","Doughmaker"
"ddf3e0ea10ea6d8c","Jorge de Oliveira","Blade","9","2","0","172.72","70.31","0.0","Orthodox","Jan 22, 1980","1.26","31","4.84","48","0.0","0","22","0.0","0.0","16.46","9.15","80.0","2","492","0.0","0.0","9.15","14.63","0.0","72.0","0.0","0.0","0","0","0.0","0","0","0","0.0","0.0","0.0","0.0","0.0467","2.3",""
"36b8f265bcd1b7a4","Abus Magomedov","","28","6","1","187.96","83.91","198.12","Orthodox","Sep 02, 1990","3.21","48","3.68","56","2.65","57","100","0.2","1.31","0.66","0.66","100.0","6","1373","33.33","667.3","19.01","42.61","1.0","452.0","1.0","57.14","1","1","16.67","1","0","0","0.0","0.0","100.0","2.0","0.1588","5.88","Russian Bear,Greasy"
"d35c3ed553b71fa2","Joe Vedepo","The Doctor","18","9","0","182.88","83.91","0.0","Orthodox","","1.43","42","5.71","38","1.07","20","0","0.0","4.48","0.0","8.96","0.0","2","201","0.0","385.07","0.0","8.96","0.0","21.0","0.0","25.0","0","0","50.0","0","0","0","0.0","0.0","0.0","0.0","0.0547","1.36",""
"04835018f90b118c","Casey O'Neill","King","10","2","0","167.64","56.7","175.26","Orthodox","Oct 07, 1997","7.89","52","5.65","57","1.45","34","70","0.7","0.0","10.84","0.54","0.0","7","1660","42.86","699.4","31.45","49.34","0.0","1231.0","4.0","34.78","2","1","0.0","0","0","0","0.0","0.0","100.0","34.0","0.3928","10.85","Bakers Dozen,Doughmaker,Iron Chin,The Dogwalker"
"4148802ae4a50768","Daniel Zellhuber","Golden Boy","15","3","0","185.42","70.31","195.58","Switch","Jul 07, 1999","5.83","39","5.91","56","0.15","25","94","0.1","0.53","10.02","0.0","0.0","6","1706","16.67","78.6","22.16","65.42","2.0","1248.0","1.0","0.0","0","1","0.0","1","0","0","0.0","0.0","0.0","0.0","0.2691","6.12","Bakers Dozen,The Dogwalker"
"6eaec40f724852f4","Jessin Ayari","","16","6","0","182.88","70.31","185.42","Orthodox","May 31, 1992","3.53","37","3.59","58","0.0","0","50","0.3","2.78","3.7","0.0","0.0","4","972","0.0","58.33","22.22","18.52","0.0","432.0","1.0","0.0","0","0","25.0","1","0","0","0.0","0.0","0.0","0.0","0.1677","5.05",""
"da97d6c97d09c030","Charles McCarthy","Chainsaw","10","5","0","177.8","83.91","180.34","Orthodox","Aug 06, 1980","0.18","12","4.03","56","2.67","60","0","2.7","2.52","0.0","0.0","0.0","3","713","33.33","334.5","1.26","1.26","0.0","25.0","3.0","60.0","0","1","66.67","1","0","0","0.0","0.0","0.0","0.0","0.0042","0.17",""
"cffb87059e645bd1","Denise Gomes","Dee","11","3","0","157.48","52.16","160.02","Orthodox","Dec 30, 1999","4.59","50","3.04","51","1.19","36","67","0.8","0.0","26.77","0.0","0.0","7","1412","42.86","878.33","34.42","60.55","3.0","554.0","5.0","36.84","3","0","0.0","1","0","0","0.0","0.0","100.0","14.67","0.2146","19.26","KO Creamer,Kickin’ Pot Pie,Iron Chin"
"9abc648e76c4493a","Bill Algeo","Senor Perfecto","18","9","0","182.88","65.77","185.42","Switch","Jun 09, 1989","5.88","51","4.38","47","1.03","50","55","0.1","0.0","18.96","3.28","100.0","10","2468","20.0","477.35","44.49","55.06","2.0","1218.0","1.0","56.25","1","1","20.0","1","0","0","0.0","0.0","100.0","24.0","0.2528","8.74","Bakers Dozen,Doughmaker,The Dogwalker"
"edd02825c29028fe","Marco Polo Reyes","","8","7","0","180.34","70.31","180.34","Orthodox","Nov 07, 1984","6.0","37","5.52","59","0.0","0","46","0.0","1.58","11.85","0.0","0.0","8","1139","37.5","188.85","25.29","52.15","5.0","708.0","0.0","0.0","3","0","50.0","1","0","0","0.0","0.0","100.0","5.0","0.2318","21.76","KO Creamer,Bakers Dozen,Kickin’ Pot Pie"
