id,total_fights,total_fight_time_sec,finish_rate,ctrl_avg,leg_landed_avg,body_landed_avg,kd,strikes_attempted,sub_att,career_td_acc,ko_tko_wins,sub_wins,ko_loss_rate,never_submitted,five_round_fights,five_round_wins,five_round_win_rate,five_round_decision_rate,ground_finish_rate,ground_landed_per_tko,sig_str_landed_per_sec,splm_std
c96d9178c9ed9e62,21,5388,14.29,803.95,30.07,29.06,2.0,1921.0,19.0,47.73,0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.1592,5.13
971246648e162f0d,12,2805,50.0,772.62,16.36,28.24,1.0,1022.0,15.0,35.0,2,4,16.67,1,0,0,0.0,0.0,100.0,27.5,0.175,8.97
6ac9bc2953c47345,24,4504,50.0,539.72,11.99,21.18,3.0,1369.0,19.0,30.49,1,11,20.83,0,0,0,0.0,0.0,100.0,2.0,0.1377,9.32
b997be68943010fc,13,2767,46.15,389.01,13.99,18.54,8.0,1344.0,1.0,45.45,5,1,7.69,0,0,0,0.0,0.0,100.0,8.6,0.2472,15.27
0d7b51c9d2649a6e,10,2326,60.0,407.82,68.1,53.01,4.0,1578.0,7.0,51.16,4,2,0.0,1,3,3,100.0,66.67,100.0,8.5,0.331,9.26
64a50dad704d1d49,31,6947,29.03,190.31,50.53,64.26,16.0,3531.0,2.0,50.0,9,0,12.9,0,1,1,100.0,100.0,44.44,1.11,0.2269,21.13
6a1901c62ab3870f,30,6978,30.0,499.66,34.95,52.36,7.0,3747.0,6.0,54.05,6,3,13.33,0,2,2,100.0,0.0,50.0,1.83,0.2614,12.18
13a0275fa13c4d26,20,4381,35.0,372.45,43.55,50.54,7.0,2476.0,0.0,40.0,7,0,15.0,1,5,5,100.0,60.0,85.71,8.0,0.2808,59.2
396fe87b84ac2e1c,10,2573,30.0,640.46,30.08,44.77,3.0,1145.0,5.0,54.17,3,0,0.0,1,2,2,100.0,100.0,100.0,7.0,0.2402,11.23
d1feea7a4bdcd503,1,121,100.0,1480.17,44.63,52.07,0.0,62.0,1.0,28.57,0,1,0.0,1,0,0,0.0,0.0,0.0,0.0,0.2975,0.0
9d62c2d8ee151f08,6,1599,50.0,553.85,28.71,22.51,1.0,408.0,6.0,52.63,0,3,0.0,1,0,0,0.0,0.0,0.0,0.0,0.1007,3.06
30cad5a751adcb48,1,184,0.0,313.04,9.78,83.15,0.0,56.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.1522,0.0
e1147d3d2dabe1ce,24,5805,25.0,248.06,41.4,23.72,12.0,3321.0,0.0,38.1,6,0,12.5,0,6,6,100.0,66.67,100.0,6.5,0.2472,14.05
d661ce4da776fc20,15,4024,26.67,528.73,35.56,57.93,10.0,2422.0,2.0,48.21,4,0,0.0,1,3,3,100.0,66.67,100.0,32.75,0.3273,17.94
8d3273573b85be09,6,1527,16.67,1451.67,24.75,25.34,1.0,322.0,8.0,43.1,0,1,16.67,1,0,0,0.0,0.0,0.0,0.0,0.1139,4.75
447f9858ae78f921,13,3029,38.46,147.08,21.99,37.14,5.0,855.0,0.0,32.14,5,0,15.38,0,0,0,0.0,0.0,60.0,4.4,0.1403,12.86
1091d4d957141094,20,3682,45.0,746.01,18.09,32.27,5.0,1035.0,12.0,38.0,4,5,15.0,0,0,0,0.0,0.0,75.0,5.0,0.1537,19.17
06734ca9d88dec3a,6,1639,33.33,63.7,70.29,82.37,2.0,775.0,0.0,0.0,2,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.2977,8.0
d9c6f19f958643e9,12,2938,16.67,1341.42,12.87,27.57,1.0,530.0,11.0,36.14,1,1,8.33,0,0,0,0.0,0.0,100.0,4.0,0.1072,10.02
beecb672a279223e,13,3055,23.08,760.07,41.83,36.24,1.0,1717.0,6.0,52.38,1,2,23.08,0,0,0,0.0,0.0,100.0,3.0,0.2245,5.85
3753714927f18437,3,885,0.0,29.49,5.08,28.47,0.0,261.0,1.0,20.0,0,0,66.67,1,0,0,0.0,0.0,0.0,0.0,0.1175,4.47
113df4fde64735c6,14,3138,28.57,393.21,63.38,86.33,4.0,2004.0,2.0,40.0,3,1,0.0,0,0,0,0.0,0.0,100.0,4.0,0.2843,22.74
6e8f1bcdda94ff45,4,614,50.0,2.93,35.18,20.52,1.0,324.0,0.0,0.0,2,0,0.0,0,0,0,0.0,0.0,50.0,0.5,0.2362,18.4
8eb046f83e82bf26,8,1905,12.5,636.85,27.87,43.46,1.0,812.0,1.0,25.0,0,1,12.5,1,0,0,0.0,0.0,0.0,0.0,0.222,8.19
751de04455cfaac0,15,3706,26.67,92.77,20.89,31.81,5.0,2573.0,1.0,29.41,4,0,6.67,1,2,2,100.0,100.0,100.0,5.0,0.2636,42.13
d3df1add9d9a7efb,30,5145,53.33,323.09,5.07,19.42,11.0,1311.0,0.0,26.32,16,0,23.33,0,7,7,100.0,0.0,93.75,16.19,0.1296,19.35
583ee11abddfc581,10,2023,30.0,316.76,30.25,35.15,1.0,1218.0,5.0,41.67,1,2,40.0,1,0,0,0.0,0.0,100.0,4.0,0.2748,38.54
4a28cb716c19157a,22,5971,27.27,175.3,19.75,45.97,10.0,2810.0,0.0,35.71,6,0,9.09,0,5,5,100.0,40.0,83.33,3.33,0.2165,8.94
c15fa95b9a12fde4,6,1154,33.33,25.74,0.78,16.38,1.0,275.0,0.0,0.0,2,0,16.67,0,0,0,0.0,0.0,0.0,0.0,0.1222,10.13
a845f0735bc67405,22,5253,36.36,603.26,16.45,25.36,5.0,1939.0,10.0,42.37,2,6,4.55,0,0,0,0.0,0.0,100.0,26.5,0.1622,6.15
71171fc96445bf65,7,1485,42.86,964.85,13.33,21.21,1.0,388.0,5.0,58.62,1,2,14.29,0,0,0,0.0,0.0,100.0,1.0,0.1152,3.48
8667caa0451d245b,14,2606,50.0,423.41,2.07,36.26,3.0,1209.0,2.0,45.45,6,1,14.29,0,0,0,0.0,0.0,83.33,6.17,0.2302,22.33
b0d6a1d8ac3d563d,18,4471,16.67,448.29,25.16,35.83,8.0,1861.0,4.0,40.82,3,0,5.56,0,0,0,0.0,0.0,66.67,4.0,0.1973,7.61
729d4bd5a6cd0a97,15,4152,20.0,497.47,22.54,25.14,1.0,2245.0,3.0,24.62,2,1,6.67,1,0,0,0.0,0.0,100.0,20.0,0.2081,5.18
