id,name,nick_name,wins,losses,draws,height,weight,reach,stance,dob,splm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
d802174b0c0c1f4e,Magomed Ankalaev,,21,1,1,190.5,92.99,190.5,Orthodox,"Jun 02, 1992",3.66,52,2.46,57,0.8,22,87,0.0
4bdedbdeedff7d1d,Bolaji Oki,The Zulu Warrior,10,2,0,177.8,70.31,185.42,Orthodox,"Nov 15, 1995",7.05,45,4.76,62,1.24,75,85,0.0
7facc9c45d792985,Kaan Ofli,Genghis,12,4,1,170.18,65.77,167.64,Orthodox,"Jun 19, 1993",2.0,45,2.93,60,0.0,0,0,0.0
24656ef4d605c96f,Aiemann Zahabi,,13,2,0,172.72,61.23,172.72,Orthodox,"Nov 19, 1987",4.42,46,4.13,69,0.14,14,83,0.0
285ae0b4a68221f4,JunYong Park,The Iron Turtle,19,6,0,177.8,83.91,185.42,Orthodox,"Feb 27, 1991",4.59,50,3.59,53,1.87,42,57,0.9
f1d64ae34e088832,Charles Jourdain,Air,16,8,1,175.26,61.23,175.26,Switch,"Nov 27, 1995",5.43,48,4.27,56,0.34,21,47,0.6
9014c02eff8b3d62,Carlos Ulberg,Black Jag,13,1,0,193.04,92.99,195.58,Orthodox,"Nov 07, 1990",6.77,55,4.21,51,0.58,60,85,0.2
70dd69b6a703257e,Daniil Donchenko,,12,2,0,,77.11,,Orthodox,"Aug 04, 2001",0.0,0,0.0,0,0.0,0,0,0.0
23dec7c47cb418f8,Zachary Reese,Savage,9,2,0,193.04,83.91,195.58,Switch,"Mar 24, 1994",4.28,54,2.99,43,2.88,58,57,1.2
b07aed698fba8624,Ikram Aliskerov,,16,2,0,182.88,83.91,193.04,Southpaw,"Dec 07, 1992",7.76,62,5.78,41,1.14,33,100,1.1
6b453bc35a823c3f,Jack Della Maddalena,,18,2,0,180.34,77.11,185.42,Switch,"Sep 10, 1996",6.84,52,4.53,64,0.16,11,69,0.2
40a456a25d52ee65,Rolando Bedoya,The Machine,14,4,0,180.34,70.31,187.96,Orthodox,"Jan 13, 1997",7.29,49,6.38,52,0.0,0,33,0.0
528b071cf3da7c56,Luana Carolina,Dread,11,4,0,167.64,61.23,175.26,Orthodox,"Jun 11, 1993",4.81,50,3.54,50,0.34,37,74,0.6
