id,name,nick_name,wins,losses,draws,height,weight,reach,stance,dob,splm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,kd_received_avg,td_attempts_received_avg,sub_att_received_avg,sub_def,total_fights,total_fight_time_sec,finish_rate,ctrl_avg,leg_landed_avg,body_landed_avg,kd,strikes_attempted,sub_att,career_td_acc,ko_tko_wins,sub_wins,ko_loss_rate,never_submitted,five_round_fights,five_round_wins,five_round_win_rate,five_round_decision_rate,ground_finish_rate,ground_landed_per_tko,sig_str_landed_per_sec,splm_std
d802174b0c0c1f4e,Magomed Ankalaev,,21,1,1,190.5,92.99,190.5,Orthodox,"Jun 02, 1992",3.66,52,2.46,57,0.8,22,87,0.0,0.26,6.25,0.26,0.0,15.0,3458.0,40.0,806.82,30.45,48.41,7.0,1299.0,0.0,22.73,6.0,0.0,0.0,0.0,3.0,3.0,100.0,66.67,83.33,8.0,0.1984,20.45
4bdedbdeedff7d1d,Bolaji Oki,The Zulu Warrior,10,2,0,177.8,70.31,185.42,Orthodox,"Nov 15, 1995",7.05,45,4.76,62,1.24,75,85,0.0,0.0,7.74,1.11,0.0,3.0,814.0,0.0,199.02,13.27,48.65,0.0,505.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2752,8.32
7facc9c45d792985,Kaan Ofli,Genghis,12,4,1,170.18,65.77,167.64,Orthodox,"Jun 19, 1993",2.0,45,2.93,60,0.0,0,0,0.0,2.31,4.62,0.0,0.0,2.0,390.0,0.0,710.77,25.38,39.23,0.0,94.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1103,0.9
24656ef4d605c96f,Aiemann Zahabi,,13,2,0,172.72,61.23,172.72,Orthodox,"Nov 19, 1987",4.42,46,4.13,69,0.14,14,83,0.0,0.83,12.87,0.0,0.0,9.0,2167.0,22.22,138.72,19.94,29.49,3.0,1002.0,0.0,14.29,2.0,0.0,11.11,1.0,0.0,0.0,0.0,0.0,100.0,2.0,0.2164,7.32
285ae0b4a68221f4,JunYong Park,The Iron Turtle,19,6,0,177.8,83.91,185.42,Orthodox,"Feb 27, 1991",4.59,50,3.59,53,1.87,42,57,0.9,0.0,16.16,0.27,0.0,12.0,3286.0,25.0,779.76,18.9,14.52,1.0,1307.0,9.0,42.86,0.0,3.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2021,6.08
f1d64ae34e088832,Charles Jourdain,Air,16,8,1,175.26,61.23,175.26,Switch,"Nov 27, 1995",5.43,48,4.27,56,0.34,21,47,0.6,0.96,12.66,1.19,80.0,15.0,3768.0,33.33,316.0,43.47,64.01,6.0,1975.0,7.0,21.05,2.0,3.0,6.67,0.0,0.0,0.0,0.0,0.0,100.0,13.5,0.2564,7.81
9014c02eff8b3d62,Carlos Ulberg,Black Jag,13,1,0,193.04,92.99,195.58,Orthodox,"Nov 07, 1990",6.77,55,4.21,51,0.58,60,85,0.2,0.49,3.45,0.0,0.0,9.0,1828.0,55.56,102.41,57.6,42.83,5.0,928.0,1.0,60.0,4.0,1.0,11.11,1.0,0.0,0.0,0.0,0.0,100.0,3.75,0.2817,12.39
70dd69b6a703257e,Daniil Donchenko,,12,2,0,,77.11,,Orthodox,"Aug 04, 2001",0.0,0,0.0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23dec7c47cb418f8,Zachary Reese,Savage,9,2,0,193.04,83.91,195.58,Switch,"Mar 24, 1994",4.28,54,2.99,43,2.88,58,57,1.2,0.0,17.74,0.99,100.0,5.0,913.0,20.0,432.75,22.67,40.42,1.0,275.0,2.0,58.33,1.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,100.0,4.0,0.1621,6.05
b07aed698fba8624,Ikram Aliskerov,,16,2,0,182.88,83.91,193.04,Southpaw,"Dec 07, 1992",7.76,62,5.78,41,1.14,33,100,1.1,1.36,1.36,0.0,0.0,4.0,660.0,75.0,46.36,13.64,31.36,3.0,152.0,0.0,0.0,3.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,33.33,6.0,0.1439,3.46
6b453bc35a823c3f,Jack Della Maddalena,,18,2,0,180.34,77.11,185.42,Switch,"Sep 10, 1996",6.84,52,4.53,64,0.16,11,69,0.2,0.0,22.61,0.5,100.0,8.0,1791.0,62.5,94.47,25.63,70.85,6.0,1000.0,1.0,16.67,4.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,6.75,0.3021,8.86
40a456a25d52ee65,Rolando Bedoya,The Machine,14,4,0,180.34,70.31,187.96,Orthodox,"Jan 13, 1997",7.29,49,6.38,52,0.0,0,33,0.0,2.0,3.0,0.0,0.0,3.0,900.0,0.0,111.0,108.0,52.0,0.0,666.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3644,6.71
528b071cf3da7c56,Luana Carolina,Dread,11,4,0,167.64,61.23,175.26,Orthodox,"Jun 11, 1993",4.81,50,3.54,50,0.34,37,74,0.6,0.39,16.49,2.36,83.33,9.0,2292.0,11.11,519.11,34.55,69.9,1.0,1109.0,4.0,42.86,1.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,100.0,25.0,0.2426,9.53
710f0f8c5d5c9d41,Lucas Almeida,,15,4,0,180.34,65.77,180.34,Orthodox,"Jan 31, 1991",4.94,39,5.04,44,0.0,0,53,0.0,1.85,10.15,0.92,0.0,5.0,975.0,20.0,181.85,57.23,40.62,3.0,617.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,100.0,21.0,0.2369,29.98
87e4a3a5080ee7ce,Elisha Ellison,Snack Panther,5,1,0,,120.2,,,"Mar 05, 1997",0.0,0,0.0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
baa9be02c3e3e038,Jose Medina,Chicho,11,5,0,182.88,83.91,187.96,Orthodox,"May 17, 1991",2.18,36,5.25,47,0.45,33,31,0.0,1.76,15.82,1.76,100.0,2.0,512.0,0.0,126.56,21.09,19.34,0.0,107.0,0.0,50.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0957,0.79
