event_name,event_id,fight_id,r_name,r_id,b_name,b_id,division,title_fight
UFC Fight Night: Lopes vs. Silva,5efaaf313b652dd7,944b929130b23c2a,Rob Font,05339613bf8e9808,David Martinez,9a97acbfd5a08bfa,bantamweight,0
UFC Fight Night: Lopes vs. Silva,5efaaf313b652dd7,de1a3734be60e6a1,Diego Lopes,f166e93d04a8c274,Jean Silva,52ef95b5860fb28c,featherweight,0
UFC Fight Night: Lopes vs. Silva,5efaaf313b652dd7,7cbfeba85f86d1bf,Rafa Garcia,e132d47bd9efbbe0,Jared Gordon,7026eca45f65377b,lightweight,0
UFC Fight Night: Lopes vs. Silva,5efaaf313b652dd7,114d2f6fcd3f6f00,Kelvin Gastelum,8c0580d4fff106c1,Dustin Stoltzfus,71505842fb6455c3,middleweight,0
UFC Fight Night: Lopes vs. Silva,5efaaf313b652dd7,8a884a7930d75ca9,Santiago Luna,faf317c665546a36,Quang Le,32feae6d9a1e5047,bantamweight,0
UFC Fight Night: Lopes vs. Silva,5efaaf313b652dd7,07a378b257aad5a9,Jose Medina,baa9be02c3e3e038,Dusko Todorovic,866fd7b1a6c90e7f,middleweight,0
UFC Fight Night: Lopes vs. Silva,5efaaf313b652dd7,352839a03b428e74,Claudio Puelles,d747eb273a40a920,Joaquim Silva,ae7fe94f117f98cf,lightweight,0
UFC Fight Night: Lopes vs. Silva,5efaaf313b652dd7,9474f64347aade7a,Tatiana Suarez,b08012bbe542592a,Amanda Lemos,3df5493bb279226f,women's strawweight,0
UFC Fight Night: Lopes vs. Silva,5efaaf313b652dd7,d822ebc7dbc6c259,Zachary Reese,23dec7c47cb418f8,Sedriques Dumas,4e6738062d469256,middleweight,0
UFC Fight Night: Lopes vs. Silva,5efaaf313b652dd7,3dc1a6335d890650,Jesus Aguilar,c051c2e12d692b8a,Luis Gurule,29162be25ebef5f0,flyweight,0
UFC Fight Night: Lopes vs. Silva,5efaaf313b652dd7,c4a6174b0698652e,Montse Rendon,60193e707634e560,Alice Pereira,81d2c551886bd5a1,women's bantamweight,0
UFC Fight Night: Lopes vs. Silva,5efaaf313b652dd7,a1e193425e716b42,Alessandro Costa,3fa97913cfd205d3,Alden Coria,5e9ca8dd7d783a75,flyweight,0
UFC Fight Night: Lopes vs. Silva,5efaaf313b652dd7,3dd2fde7bff79c51,Rodrigo Sezinando,c06d6b18862f9a53,Daniil Donchenko,70dd69b6a703257e,welterweight,0
